Symbol	Description
5GZ.SI	Aa Group Holdings Ltd.
5H0.SI	Singhaiyi Group Ltd.
5HC.SI	Ntegrator International Ltd
5HG.SI	Oniontech Limited
5HH.SI	Hln Technologies Limited
5HT.SI	Communication Design Intl Ltd
5HV.SI	Metax Engineering Corp Limited
5I0.SI	Qt Vascular Ltd.
5I1.SI	Kop Limited
5I4.SI	Icp Ltd
5IC.SI	Sing Holdings Limited
5IE.SI	Lorenzo International Limited
5IF.SI	Natural Cool Holdings Limited
5IG.SI	Gallant Venture Ltd.
5JK.SI	Hiap Hoe Limited
5JS.SI	Indofood Agri Resources Ltd.
5KI.SI	Soup Restaurant Group Limited
5LE.SI	Sitra Holdings (intl) Limited
5LY.SI	Marco Polo Marine Ltd.
5MD.SI	Soon Lian Holdings Limited
5ME.SI	Ezion Holdings Limited
5ML.SI	Old Chang Kee Ltd.
5MM.SI	Sky One Holdings Limited
5MQ.SI	Epicentre Holdings Limited
5MZ.SI	Kingsmen Creatives Ltd
5N4W.SI	Alibaba Mb Epw210105
5NF.SI	Mencast Holdings Ltd.
5NG.SI	Healthway Medical Corp Ltd
5NK.SI	Artivision Technologies Ltd.
5NV.SI	Chasen Holdings Limited
5OC.SI	Koyo International Limited
5OI.SI	Japan Foods Holding Ltd.
5OQ.SI	Teho International Inc Ltd.
5OR.SI	Heatec Jietong Holdings Ltd.
5OT.SI	Singapore Medical Group Ltd
5OU.SI	China Environment Ltd.
5OX.SI	Mary Chia Holdings Limited
5PC.SI	Goodland Group Limited
5PD.SI	Hengyang Petrochem Log Limited
5PF.SI	Jason Marine Group Limited
5PL.SI	Sbi Offshore Limited
5PO.SI	Hiap Tong Corporation Ltd.
5QR.SI	Mann Seng Metal Intl Limited
5QT.SI	Charisma Energy
5QY.SI	Net Pacific Fin Hldgs Ltd
5RA.SI	Asia-pacific Strategic Inv Ltd
5RC.SI	Es Group (holdings) Limited
5RE.SI	Smartflex Holdings Ltd
5RF.SI	Friven & Co. Ltd.
5SO.SI	Duty Free Internationallimited
5SR.SI	Zhongmin Baihui Retail Grp Ltd
5SY.SI	Chew's Group Limited
5TI.SI	Kitchen Culture Holdings Ltd.
5TJ.SI	Far East Group Limited
5TN.SI	Iev Holdings Limited
5TP.SI	Cnmc Goldmine Holdings Limited
5TR.SI	Libra Group Limited
5TS.SI	Jk Tech Holdings Limited
5TT.SI	Keong Hong Holdings Limited
5TW.SI	Chaswood Resources Hldgs Ltd.
5TY.SI	Advanced Systems Automation
5UA.SI	Starland Holdings Limited
5UF.SI	Maxi-cash Fin Svcs Corp Ltd
5UJ.SI	Neo Group Limited
5UL.SI	Atlantic Navigation Hldg(s)ltd
5UN.SI	Sincap Group Limited
5UO.SI	Sysma Holdings Limited
5UX.SI	Oxley Holdings Limited
5VC.SI	Kori Holdings Limited
5VI.SI	Logistics Holdings Limited
5VJ.SI	Halcyon Agri Corporation Ltd
5VP.SI	Gds Global Limited
5VS.SI	Hafary Holdings Limited
5WA.SI	Intl Healthway Corp Limited
5WE.SI	Moya Holdings Asia Limited
5WF.SI	Isoteam Ltd.
5WG.SI	Singapore Kitchen Equipmentltd
5WH.SI	Rex International Holding Ltd
5WJ.SI	Moneymax Financial Servicesltd
5WV.SI	Asiaphos Limited
5YTW.SI	Uob Mb Epw201230
600.SI	Hyflux Ltd
7PMS.SI	Ny07100x 220901
7QQS.SI	Nz07100s 270301
8A1.SI	Forise Int
8C5W.SI	Sti 2550mbecw210331
8K7.SI	Ughealthcare
8Y4W.SI	Hsi 28200mbecw210225
8YLS.SI	Nz19100s 390701
8YY.SI	Biolidics Limited
94RW.SI	Xiaomi Mbepw210202
983W.SI	Aem Mb Ecw210302
9EFW.SI	Maplecomtr Mb Ecw210302
9HSW.SI	Dlc Socgen7xlonghsc 210723
9I5W.SI	Ocbc Bk Mb Epw210705
9KVW.SI	Uob Mb Epw210217
9MDW.SI	Uob Mb Epw201231
9QJW.SI	Sgx Mb Ecw210315
9T9W.SI	Sunny Mb Ecw210405
A04.SI	Asl Marine Holdings Ltd
A05.SI	Avjennings Limited
A13.SI	Allied Technologies Limited
A17U.SI	Ascendas Real Estate Inv Trust
A26.SI	Sinarmas Land Limited
A30.SI	Aspial Corporation Limited
A31.SI	Addvalue Technologies Ltd
A33.SI	Blumont Group Ltd.
A34.SI	Amara Holdings Ltd
A35.SI	Abf Spore Bond Index Fund Etf
A50.SI	Rowsley Ltd.
A52.SI	Annaik Limited
A55.SI	Asia Enterprises Holding Ltd
A75.SI	Ace Achieve Infocom Limited
A78.SI	Liongold Corp Ltd
A7RU.SI	Cityspring Infrastruct Trust
A7S.SI	Sunvic Chemical Holdings Ltd
AAJ.SI	Sunmoon Food Company Limited
ACV.SI	Frasers Hospitality Trust
ADJ.SI	Ols Enterprise Ltd.
ADN.SI	First Sponsor Group Limited
