Symbol	Description
BAM.PF.H.TO	Brookfield Asset MGT Inc Pref Ser 44
BAM.PF.I.TO	Brookfield Asset Mgmt Inc Pref Ser 46
BAM.PF.J.TO	Brookfield Asset Mgmt Inc Pref Ser 48
BAM.PR.B.TO	Brookfield Asset Mgmt Inc Pr. Ser 2
BAM.PR.C.TO	Brookfield Asset Mgmt Inc Pr. Ser 4
BAM.PR.E.TO	Brookfield Asset Mgmt Inc Pr. Ser 8
BAM.PR.G.TO	Brookfield Asset Mgmt Inc Pr Ser 9
BAM.PR.K.TO	Brookfield Asset Mgmt Inc Pr. Ser 13
BAM.PR.M.TO	Brookfield Asset Mgmt Inc Prf A Ser 17
BAM.PR.N.TO	Brookfield Asset Mgmt Pref Shs Ser 18
BAM.PR.R.TO	Brookfield Asset Mgmt Pref Ser 24
BAM.PR.S.TO	Brookfield Asset Mgmt Inc Pref Ser 25
BAM.PR.T.TO	Brookfield Asset Mgmt Pref Ser 26
BAM.PR.X.TO	Brookfield Am Pref Ser 28
BAM.PR.Z.TO	Brookfield Asset Mgmt Inc Pr Ser 30
BASE.TO	Evolve Glob Matls Mining Enh Yld Idx ETF
BASE.B.TO	Evolve Glob Matls Mining Enh Yld Unhgd
BB.TO	Blackberry Limited
BBD.A.TO	Bombardier Inc Cl A Mv
BBD.B.TO	Bombardier Inc Cl B Sv
BBD.PR.B.TO	Bombardier 2 Pr
BBD.PR.C.TO	Bombardier Inc Pref Class C
BBD.PR.D.TO	Bombardier Inc Pref Ser 3
BBL.A.TO	Brampton Brick Ltd Cl.A Sv
BBTV.TO	Bbtv Holdings Inc.
BBU.UN.TO	Brookfield Business Partners LP
BC.U.TO	Bespoke Capital Acquisition Class A USD
BC.WT.U.TO	Bespoke Capital Acquisition Corp WT
BCE.TO	BCE Inc
BCE.PR.A.TO	BCE First Pr Shares Series Aa
BCE.PR.B.TO	BCE Inc First Pr Shares Series Ab
BCE.PR.C.TO	BCE Inc Pr Shares Series AC
BCE.PR.D.TO	BCE Inc Pref Shares Series Ad
BCE.PR.E.TO	BCE 1st Pref Shares Series Ae
BCE.PR.F.TO	BCE 1st Pref Shares Series Af
BCE.PR.G.TO	BCE 1st Pref Shares Series Ag
BCE.PR.H.TO	BCE 1st Pref Shares Series Ah
BCE.PR.I.TO	BCE 1st Pref Shares Series Ai
BCE.PR.J.TO	BCE Inc Pref Sh Series Aj
BCE.PR.K.TO	BCE Inc Pref Ser AK
BCE.PR.L.TO	BCE Inc Pref Ser AL
BCE.PR.M.TO	BCE Inc Pref Shares Series Am
BCE.PR.N.TO	BCE Inc Pref Shares Series An
BCE.PR.O.TO	BCE Inc Pref Shares Series Ao
BCE.PR.Q.TO	BCE Inc Pref Shares Series Aq
BCE.PR.R.TO	BCE Inc Ser R
BCE.PR.S.TO	BCE Inc Ser S
BCE.PR.T.TO	BCE Inc First Pref Series T
BCE.PR.Y.TO	BCE Inc Ser Y Pr
BCE.PR.Z.TO	BCE Inc Series Z
BCI.TO	New Look Vision Group Inc
BDI.TO	Black Diamond Group Ltd
BDIV.TO	Brompton Global Dividend Growth ETF
BDT.TO	Bird Construction Inc
BEI.UN.TO	Boardwalk Real Estate Investment Trust
BEK.B.TO	Becker Milk Company Ltd Cl.B NV
BEP.PR.E.TO	Brookfield Renewable LP Pref Ser 5
BEP.PR.G.TO	Brookfield Renewable LP Pref Ser 7
BEP.PR.I.TO	Brookfield Renewable Pref Ser 9
BEP.PR.K.TO	Brookfield Renewable LP Pref Ser 11
BEP.PR.M.TO	Brookfield Renewable LP Pref Ser 13
BEP.PR.O.TO	Brookfield Renewable Partners L.P.
BEP.UN.TO	Brookfield Renewable Partners LP
BEPC.TO	Brookfield Renewable Corporation
BESG.TO	Invesco ESG CDN Core Plus Bond ETF
BFIN.TO	Brompton Na Financials Dividend ETF
BFIN.U.TO	Brompton Na Financials Dividend ETF USD
BGC.TO	Bristol Gate Concentrated CDN Eqty ETF
BGI.UN.TO	Brookfield Glbl Infras Sec Inc Fd
BGU.TO	Bristol Gate Concentrated US Eqty ETF
BGU.U.TO	Bristol Gate Conc US Eqty ETF USD
BHC.TO	Bausch Health Companies Inc
BIK.PR.A.TO	Bip Investment Corp Pref Ser 1
BIP.PR.A.TO	Brookfield Infra Partners LP Pref Ser 1
BIP.PR.B.TO	Brookfield Infra Partners LP Pref Ser 3
BIP.PR.C.TO	Brookfield Infra Partners LP Pref Ser 5
BIP.PR.D.TO	Brookfield Infra Partners LP Pref Ser 7
BIP.PR.E.TO	Brookfield Infra Partners LP Pref Ser 9
BIP.PR.F.TO	Brookfield Infra Partners LP Pref Ser 11
BIP.UN.TO	Brookfield Infra Partners LP Units
BIPC.TO	Brookfield Infrastructure Corporation
BIR.TO	Birchcliff Energy Ltd
BIR.PR.A.TO	Birchcliff Energy Ltd Pref Sh A
BIR.PR.C.TO	Birchcliff Energy Ltd Pref Ser C
BK.TO	Canadian Banc Corp
BK.PR.A.TO	Canadian Banc Corp Pref A
BKI.TO	Black Iron Inc
BKL.C.TO	Invesco Senior Loan Index ETF
BKL.F.TO	Invesco Senior Loan Index ETF
BKL.U.TO	Invesco Senior Loan Index USD ETF
BL.UN.TO	Global Innovation Dividend Fund
BLB.UN.TO	Bloom Select Income Fund
BLCK.TO	First Trust Indxx Innov Trans Proc ETF
BLDP.TO	Ballard Power Systems Inc
BLU.TO	Bellus Health Inc
BLX.TO	Boralex Inc
BMO.TO	Bank of Montreal
BMO.PR.A.TO	BMO Pref Shares Series 26
BMO.PR.B.TO	BMO Pref Shares Series 38
BMO.PR.C.TO	BMO Pref Shares Series 40
BMO.PR.D.TO	BMO Pref Shares Series 42
BMO.PR.E.TO	BMO Pref Shares Series 44
BMO.PR.F.TO	BMO Pref Shares Series 46
BMO.PR.Q.TO	Bank of Montreal B Pref Sh Ser 25
BMO.PR.S.TO	BMO Cl B Pref Shares Ser 27
BMO.PR.T.TO	BMO Non Cum Cl B Prf Share Series 29
BMO.PR.W.TO	BMO Cl B Pref Shares Ser 31
BMO.PR.Y.TO	Bank of Montreal Pref Ser 33
BMO.PR.Z.TO	Bank of Montreal Pref Ser 35
BNAU.TO	Battle North Gold Corp
BNC.TO	Purpose CDN Financial Income Fund ETF
BND.TO	Purpose Tactical Inv Grade Bond ETF
BNE.TO	Bonterra Energy Corp
BNG.TO	Bengal Energy Ltd
BNK.TO	Bankers Petroleum Ltd.
BNK.PR.A.TO	Big Banc Split Corp
BNS.TO	Bank of Nova Scotia
BNS.PR.E.TO	Bns Pref Shares Series 34
BNS.PR.F.TO	Bns Pref Shares Series 33
BNS.PR.G.TO	Bns Pref Shares Series 36
BNS.PR.H.TO	Bns Pref Shares Series 38
BNS.PR.I.TO	Bns Preferred Shares Series 40
BNS.PR.Z.TO	Bns Pref Ser 32
BOS.TO	Airboss America J
BPF.UN.TO	Boston Pizza Royalties Income Fund
BPO.PR.A.TO	Brookfield Office Properties Pref Ser Aa
BPO.PR.C.TO	Brookfield Office Properties Pref Ser CC
