Symbol	Description
BM.H.V	Bc Moly Ltd
BME.V	Barsele Minerals Corp
BMET.V	Bemetals Corp
BMEX.V	Bmex Gold Inc.
BMG.V	Black Mountain Gold USA Corp
BMK.V	Macdonald Mines Expl Ltd
BMM.V	Black Mammoth Metals Corp
BMV.H.V	Bathurst Metals Corp
BNCH.V	Benchmark Metals Inc
BOL.V	Bold Ventures Inc
BP.V	Backstageplay Inc
BPLI.V	Bpli Holdings Inc.
BQE.V	Bqe Water Inc
BRAG.V	Bragg Gaming Group Inc
BRAG.WT.V	Bragg Gaming Group Inc Wts
BRAU.V	Big Ridge Gold Corp.
BRC.V	Blackrock Gold Corp
BRG.V	Brigadier Gold Limited
BRL.H.V	Bearclaw Capital Corp
BRM.V	Biorem Inc
BRN.PR.A.V	Brookfield Investments Corp Pref A
BRO.V	Barksdale Resources Corp.
BRW.V	Brunswick Exploration Inc
BRZ.V	Bearing Lithium Corp
BSH.V	Bayshore Petroleum Corp
BSI.H.V	Blue Sky Energy Inc
BSK.V	Blue Sky Uranium Corp
BSR.V	Bluestone Resources Inc
BST.V	Bessor Minerals Inc
BTEC.H.V	Balsam Technologies Corp
BTI.V	Bioasis Technologies Inc
BTR.V	Bonterra Resources Inc
BTT.V	Bitterroot Resources Ltd
BTU.V	Btu Metals Corp
BTV.V	Bluerush Inc
BUD.V	Satori Resources Inc
BUF.V	Buffalo Coal Corp
BUS.V	Grande West Transportation Group Inc
BVA.V	Bravada Gold Corp
BWLK.V	Boardwalktech Software Corp
BWR.V	Bwr Exploration Inc
BXR.V	Blue River Resources Ltd
BYM.H.V	Baymount Incorporated
BYN.V	Banyan Gold Corp
BZ.V	Benz Mining Corp
C.V	Contact Gold Inc
CAC.P.V	Cinaport Acquisition Corp III
CAD.V	Colonial Coal International Corp
CAF.V	Canaf Investments Inc
CAG.V	Composite Alliance Group Inc
CAGR.V	Central African Gold Inc.
CAK.H.V	Capricorn Business Acquisitions Inc
CANB.V	Canadabis Capital Inc
CAND.V	Candelaria Mining Corp
CANX.V	Canex Metals Inc
CAP.V	Castle Peak Mining Ltd
CAPT.V	Capitan Mining Inc
CASA.V	Casa Minerals Inc
CAY.V	Cache Exploration Inc
CBA.V	Champion Bear Res Ltd
CBG.V	Chibougamau Independent Mines Inc
CBI.V	Colibri Resource Corp
CBLT.V	Cblt Inc
CBLU.V	Clear Blue Technologies Intl Inc
CBR.V	Cabr AL Gold Inc
CBV.V	Cobra Venture Corp
CCB.V	Canada Carbon Inc
CCCM.V	C3 Metals Inc
CCD.V	Cascadero Copper Corp
CCE.V	Commerce Resources Corp
CCII.P.V	Cuspis Capital II Ltd
CCW.V	Canada Silver Cobalt Works Inc.
CD.V	Cantex Mine Development Corp
CDA.V	Canuc Resources Corp
CDB.V	Cordoba Minerals Corp
CDC.V	Cadillac Ventures Inc
CDG.V	Candente Gold Corp
CDU.V	Cardero Resource Corp
CE.H.V	Canada Energy Partners Inc.
CEL.H.V	Columbus Energy Limited
CEM.V	Constantine Metal Resources Ltd
CEN.V	Claren Energy Corp
CEP.V	Cliffside Capital Ltd
CEY.H.V	Century Energy Ltd
CFY.V	Cf Energy Corp
CGC.V	Caldas Gold Corp
CGC.WT.V	Caldas Gold Corp Wts
CGD.V	Carlin Gold Corp
CGP.V	Cornerstone Capital Resources Inc
CHN.V	China Education Resources Inc
CHY.H.V	Cypress Hills Resource Corp
CIO.V	Central Iron Ore Limited
CKG.V	Chesapeake Gold Corp
CKK.V	Cordy Oilfield Services Inc
CLI.V	Clearford Water Systems Inc
CLV.V	Canoe Mining Ventures Corp
CLZ.V	Canasil Resources Inc
CMB.V	Cmc Metals Ltd
CMD.V	Commander Resources Ltd
CMI.V	C-Com Satellite Systems Inc
CMIL.V	Capella Minerals Ltd
CML.V	Canickel Mining Limited
CMO.H.V	Cliffmont Resources Ltd
CMU.V	Comet Industries Ltd
CMX.V	Chilean Metals Inc
CN.V	Condor Resources Inc
CNC.V	Canada Nickel Company Inc.
CNO.V	California Nanotechnologies Corp
CNS.V	Contagious Gaming Inc
CNX.V	Callinex Mines Inc
COBC.V	Cobalt Blockchain Inc
COIN.V	Coin Hodl Inc
COL.V	Copper North Mining Corp
CONE.V	Canada One Mining Corp
COO.V	Naturebank Asset Management Inc
COR.V	Camino Minerals Corp
COV.V	Covalon Technologies Ltd
CPAU.V	Copaur Minerals Inc.
CPL.V	Copper Lake Resources Ltd
CPM.H.V	Crystal Peak Minerals Inc
CPS.V	Canadian Premium Sand Inc
CQR.V	Conquest Resources Ltd
CRB.V	Cariboo Rose Resources Ltd
CRBK.V	Carebook Technolgies Inc
CRE.V	Critical Elements Lithium Corp
CROW.P.V	Stormcrow Holdings Corp
CRTS.V	Cortus Metals Inc
CSL.V	Comstock Metals Ltd
CSO.V	Corsa Coal Corp
CSOC.A.V	Canso Select Opportunities Corp Class A
CSOC.B.V	Canso Select Opportunities Corp Class B
CSTL.P.V	Castlecap Capital Inc
CSTR.V	Cryptostar Corp
CSX.V	Clean Seed Capital Group Ltd
CTA.V	Centaurus Energy Inc.
CTO.V	Circa Enterprises Inc
CTS.V	Converge Technology Solutions Corp
CTU.H.V	Le Chateau Inc
CTZ.V	Namsys Inc
CUB.V	Cubicfarm Systems Corp
CUDA.V	Cuda Oil & Gas Inc
CUI.V	Currie Rose Resources Inc
CUR.V	International Consolidated Uranium Inc
CUSN.V	Cornish Metals Inc.
CUU.V	Copper Fox Metals Inc
CVB.V	Compass Gold Corporation
CVM.V	Cvr Medical Corp
CVV.V	Canalaska Uranium Ltd
CVX.V	Cematrix Corp
CWC.V	Cwc Energy Services Corp
CWM.V	Crown Mining Corp
CWRK.V	Currencyworks Inc
CWV.V	Crown Point Energy Inc
CXA.H.V	Consolidated Hci Holdings Corporation
CYF.V	Canyon Creek Food CO Ltd
CYL.V	Ceylon Graphite Corp
CYM.V	Cymat Technologies Ltd
CYON.V	Cyon Exploration Ltd
CYP.V	Cypress Development Corp
CZ.H.V	Cassius Ventures Ltd
CZO.V	Ceapro Inc
CZZ.V	Cleghorn Minerals Ltd
DAC.V	Datable Technology Corp
DAI.H.V	Datinvest International Ltd.
DAN.V	Arianne Phosphate Inc
DASH.V	Neptune Dash Technologies Corp
DAU.V	Desert Gold Ventures Inc
DB.V	Decibel Cannabis Company Inc.
DB.DB.V	Decibel Cannabis CO Inc 9.5 Pct Debs
DB.WT.V	Decibel Cannabis Company Inc Wts
DBG.V	Doubleview Gold Corp.
DCMC.V	Dore Copper Mining Corp
DCOP.V	District Copper Corp
DCY.V	Discovery-Corp. Enterprises Inc
DE.V	Decisive Dividend Corp
DEAL.V	Playgon Games Inc.
DEC.V	Decade Resources Ltd
DEF.V	Defiance Silver Corp
DEFN.V	Defense Metals Corp
DELX.V	Delphx Capital Markets Inc
DEX.V	Almadex Minerals Ltd
DFR.V	Diamond Fields Resources Inc
DG.V	Dixie Gold Inc.
DGHI.V	Digihost Technology Inc.
DGO.V	Durango Resources Inc
DGTL.V	Dgtl Holdings Inc
DHR.V	Discovery Harbour Resources Corp
DIG.H.V	District Mines Ltd
DJI.V	Dajin Lithium Corp.
DKL.V	Decklar Resources Inc.
DLP.V	Mg Capital Corp
DLS.V	Dealnet Capital Corp
DLTA.V	Delta Resources Ltd.
DLV.H.V	Dv Resources Ltd
DM.V	Datametrex Ai Ltd
DME.V	Desert Mountain Energy Corp
DMGI.V	Dmg Blockchain Solutions Inc
DMI.V	Diamcor Mining Inc
DMR.V	Damara Gold Corp
DMX.V	District Metals Corp
DOC.V	Cloudmd Software & Services Inc.
DOS.V	Dios Exploration Inc
DRC.H.V	Dragonfly Capital Corp
DSM.V	Deep South Resources Inc
DSV.V	Discovery Metals Corp
DSY.V	Destiny Media Technologies Inc
DV.V	Dolly Varden Silver Corp
DVG.V	Divergent Energy Services Corp
DWS.V	Diamond Estates Wines and Spirits Inc
DXI.H.V	Dxi Energy Inc
DYG.V	Dynasty Gold Corp
EAC.V	Earth Alive Clean Technologies Inc
EAC.WT.V	Earth Alive Clean Technologies Inc.
EAM.V	East Africa Metals Inc
EAST.V	Eastwest Bioscience Inc
EAU.V	Engineer Gold Mines Ltd
EBM.V	Eastwood Bio Medical Canada Inc
ECC.V	Ethos Gold Corp
ECM.V	Ecolomondo Corporation
ECOM.V	Emerge Commerce Ltd
ECR.V	Cartier Resources Inc
ECU.V	Element 29 Resources Inc
EDDY.V	Edison Cobalt Corp
EDG.V	Endurance Gold Corp
EDW.H.V	Edgewater Exploration Ltd
EGA.V	Eagle Graphite Incorporated
EGLD.V	Eclipse Gold Mining Corporation
EGM.V	Engold Mines Ltd
EGT.V	Eguana Technologies Inc
EHT.V	Enerdynamic Hybrid Tech Corp
EIL.V	Empire Industries Ltd
EKG.V	Cardiocomm Solutions Inc
EL.V	Engagement Labs Inc
ELC.V	Elysee Development Corp
ELE.V	Elemental Royalties Corp
ELEC.V	Electric Royalties Ltd
ELM.V	Element Lifestyle Retirement Inc
ELN.V	El Nino Ventures Inc
ELO.V	Eloro Resources Ltd
ELXR.V	Elixxer Ltd.
ELY.V	Ely Gold Royalties Inc
EMH.V	Emerald Health Therapeutics Inc
EMM.V	Giyani Metals Corp
EMN.V	Euro Manganese Inc
EMO.V	Emerita Resources Corp
EMR.V	Emgold Mining Corp
EMX.V	Emx Royalty Corp
ENDR.V	Enduro Metals Corp
ENRG.V	New Energy Metals Corp
ENTH.H.V	Entheos Capital Corp
ENW.V	Enwave Corp
ENW.WT.V	Enwave Corporation WT
EOG.V	Eco Atlantic Oil and Gas Ltd
EP.V	Empire Metals Corp
EPL.V	Eagle Plains Resources Ltd
EPO.H.V	Encanto Potash Corp
EPX.H.V	Eshippers Management Ltd.
EQ.V	Eq Inc
EQG.V	Eqube Gaming Limited
EQTY.V	Equity Metals Corporation
ERA.V	Elcora Advanced Materials Corp
ERC.V	Eros Resources Corp
ERL.H.V	Earl Resources Limited
ESE.V	Ese Entertainment Inc
ESGW.V	ESG Global Impact Capital Inc.
ESK.V	Eskay Mining Corp
ESS.V	Esstra Industries Inc
ESU.V	Eestor Corp
ESX.V	Essex Minerals Inc
ETF.V	Eastfield Resources Ltd
ETMC.V	E3 Metals Corp
EU.V	Encore Energy Corp
EV.V	Erin Ventures Inc
