Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
OTCM,OTC MARKETS GROUP INC A,OTCQX U.S. Premier,35.000000,0.000000,1939,Common Stock,USA,New York
VLLX,VALLEY REPUBLIC BANCORP,OTCQX U.S. Premier,20.510000,,0,Common Stock,USA,California
EMYB,EMBASSY BANCORP INC,OTCQX U.S. Premier,14.520000,0.623700,325,Common Stock,USA,Pennsylvania
CTUY,CENTURY NEXT FINANCIAL CP,OTCQX U.S. Premier,26.250000,,0,Common Stock,USA,Louisiana
PBAM,PRIVATE BANCORP OF AMER,OTCQX U.S. Premier,17.800000,,0,Common Stock,USA,California
UNIF,U&I FINANCIAL CORP,OTCQX U.S. Premier,8.564000,,0,Common Stock,USA,Washington
WBBW,WESTBURY BANCORP INC,OTCQX U.S. Premier,24.050000,-0.824700,200,Common Stock,USA,Wisconsin
FFMR,FIRST FARMERS FINANCIAL,OTCQX U.S. Premier,43.970000,,0,Common Stock,USA,Indiana
CBWA,COMMENCEMENT BANCORP INC,OTCQX U.S. Premier,11.330000,0.000000,1086,Common Stock,USA,Washington
PMHG,PRIME MERIDIAN HLDG CO,OTCQX U.S. Premier,18.250000,0.717400,172,Common Stock,USA,Florida
SABK,SOUTH ATLANTIC BANCSHARES,OTCQX U.S. Premier,10.950000,-0.454500,16109,Common Stock,USA,South Carolina
KSHB,KUSHCO HOLDINGS INC,OTCQX U.S. Premier,0.930000,-1.587300,485815,Common Stock,USA,California
MCBI,MOUNTAIN COMM BANCORP INC,OTCQX U.S. Premier,20.950000,-2.331000,1000,Common Stock,USA,Tennessee
CBBI,CBB BANCORP INC,OTCQX U.S. Premier,7.960000,-1.728400,8264,Common Stock,USA,California
VTYB,VICTORY BANCORP INC,OTCQX U.S. Premier,9.750000,8.213100,1000,Common Stock,USA,Pennsylvania
CNBN,CNB BK SHS INC,OTCQX U.S. Premier,18.000000,0.000000,100,Common Stock,USA,Illinois
