symbol	company	yayk	nayk	mayk	wyay	wnay	wmay	desc
CNLK	Cannalink, Inc.	0	0	0	#{}	#{}	#{}	Cannalink, Inc. is a development stage company that intends to develop cannabidiol based products and provide services to emerging companies in the medical marijuana and industrial healthcare sector. The company is based in San Diego, California.
MGAG	Mortgage Oil Corp.	0	1	2	#{}	#{"Oil"}	#{"United States" "real estate"}	Mortgage Oil Corp. invests in companies owning multi-family residential apartment complexes and industrial real estate in the United States. The company is based in Los Angeles, California.
LGBI	Cannabiz Mobile, Inc.	2	1	2	#{"Canada" "hydroponic"}	#{"Gold"}	#{"Brazil" "United States"}	Cannabiz Mobile, Inc. operates as a mobile media and marketing company for businesses in the medical marijuana industry primarily in the United States and Canada. The company markets a subscription based, in the cloud, mobile media solution that enables care givers, dispensaries, hydroponic, and ancillary product retailers to create, deploy, and analytically measure mobile marketing campaigns using various networks and devices. It also enables businesses to create customizable personal audio and video advertisements, commercials, podcasts, and presentations that are accessible through various smart phone devices; and designs generic action pages and custom mobile Websites in which the end user has the ability to save the Mobile APP to their home screen. In addition, the company provides suppliers with mobile solutions to facilitate them in running their business through the use of the company's mobile marketing software, including mobile coupons, birthday reminders, alerts mobile business cards, mobile sites, and apps. Its software also facilitates in keeping patients informed of new medicine, as well as uses SMS text as a way to communicate for appointment reminders, refills, etc.; and provides refill reminders. The company was formerly known as Lion Gold Brazil, Inc. and changed its name to Cannabiz Mobile, Inc. in June 2014. Cannabiz Mobile, Inc. is based in Cambridge, Massachusetts.
WOGI	World Oil Group, Inc.	0	2	0	#{}	#{"drilling" "oil"}	#{}	Cyber Kiosk Solutions, Inc. provides oil drilling services. The company was incorporated in 2013 and is based in Debary, Florida.
OJOC	Ojai Oil Company	0	3	0	#{}	#{"Oil" "gas" "oil"}	#{}	Ojai Oil Company engages in the operation and management of self-storage facilities primarily in Southern California and Southern Nevada. It is also involved in the operation and management of commercial and residential buildings. In addition, the company invests in, produces, sells, and manages oil and gas properties. Further, it invests in securities. The company was incorporated in 1900 and is headquartered in Camarillo, California.
OILY	Sino American Oil Company	0	5	0	#{}	#{"Oil" "gas" "oil"}	#{}	Sino American Oil Company operates as an oil and gas exploration company. It also seeks mergers and acquisitions contracts, as well as commodity trading of hydrocarbon products. The company was formerly known as Raphael Industries Ltd. and changed its name to Sino American Oil Company in November 2010. Sino American Oil Company was incorporated in 2005 and is based in Cheyenne, Wyoming.
PTOI	Plastic2Oil, Inc.	1	6	6	#{"natural"}	#{"natural gas" "gas" "oil"}	#{"fuel" "United States"}	Plastic2Oil, Inc. engages in the transforming waste plastics to oil and other fuel products in the United States. It produces light and heavy fuel products, such as naphtha, fuel oil No. 2 and fuel oil No. 6. The company also produces by-products, including a reusable off-gas similar to natural gas and a carbon residue known as petcoke. Plastic2Oil, Inc. sells its products through fuel wholesalers, as well as directly to commercial and industrial end-users. The company was formerly known as JBI, Inc. and changed its name to Plastic2Oil, Inc. in August 2014. Plastic2Oil, Inc. was incorporated in 2006 and is headquartered in Niagara Falls, New York.
SSOF	665 Energy, Inc.	0	7	2	#{}	#{"Oilfield" "testing" "drilling" "gas" "oil"}	#{"United States" "Germany"}	Sixty Six Oilfield Services, Inc. sells and rents heavy oil field equipment to the oil and gas industry in the United States and internationally. It sells new and used heavy-weight drill pipes, drill collars, pup joints, pony collars, handling tools, tubing, casing, blow-out preventers, engines, compressors, custom drilling rigs, and related equipment; and rents heavy drill pipes on short and long term basis. The company also offers refurbishment, testing, and certification services for used and refurbished equipment, and parts. Sixty Six Oilfield Services, Inc. was founded in 1959 and is based in Oklahoma City, Oklahoma with additional facilities in Germany and Dubai.
CNBX	Cannabics Pharmaceuticals Inc.	1	8	3	#{"systems"}	#{"cancer" "Pharmaceuticals"}	#{"biopharmaceutical" "Mining" "lead"}	Cannabics Pharmaceuticals Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of novel cannabinoid-based products and technologies for the treatment of cancer. The company focuses on developing and marketing bioinformatic delivery systems for cannabinoids, personalized medicine therapies, and procedures based on cannabis originated compounds and bioinformatics tools. Its lead product candidate is RCC-33, an oral capsule containing a formulation of cannabinoids for the treatment of colorectal cancer. The company is also developing Cannabics SR, a lipid-based capsule containing a standardized formulation of cannabinoids for the treatment of cancer anorexia-cachexia syndrome; and Cannabics CDx, a drug sensitivity test for cannabinoid-based cancer therapies. The company was formerly known as American Mining Corporation and changed its name to Cannabics Pharmaceuticals Inc. in May 2014. Cannabics Pharmaceuticals Inc. was founded in 2004 and is based in Bethesda, Maryland. Cannabics Pharmaceuticals Inc. is a subsidiary of Cannabics Inc.
